condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,distinct_genome_lengths,genome_length_maximum,genome_length_mean,genome_length_median,genome_length_minimum,genome_length_variance,genome_memory_used,instruction_deletion_operations,instruction_duplication_operations,replication_copy_operations,result_checksum,structural_duplication_probability,structural_event_rate,structural_length_delta_total,structural_mutation_committed_operations,structural_mutation_operations,structural_mutation_rejected_operations,structural_rng_seed,template_jump_operations,variable_length_active_population,variable_length_births,variable_length_reproducing_offspring
structural-rate-0.01,,1,1049be55df8178ea,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,49,7,54,2,9,2,3,7358,6,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,1,2,1488,fa2f4fbfaa5884f2b9695e0e4d921380789d5f7f7c351e4f54d48211ab932ffe,0.5,0.01,1,3,3,0,9376666683055484113,1471,0,2,0
structural-rate-0.01,,2,8d48b36bf448f6f8,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,47,5,54,5,10,4,3,6114,5,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,1,1,1442,cc68056dc2bda34ff61264a1932444dd299690e82d6f95aec5d8c37d405fc10b,0.5,0.01,0,2,2,0,4778355428363295131,1440,0,1,0
structural-rate-0.01,,3,eee4d1cfa494bc7d,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,46,4,54,2,6,2,3,5815,4,53,53,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,0,1,1403,12519827c30646da7bfc549f489e1c51b0ceeda1eaa642f626270638a8aebeb1,0.5,0.01,1,1,1,0,656817422537117293,1400,0,0,0
structural-rate-0.01,,4,00725e500c188ed9,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,45,3,54,1,4,1,3,5757,3,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,0,1,1389,30f56c1669afd205fd2c52ba05d129e587b4fa0e112270f7b562138a30641cfd,0.5,0.01,1,1,1,0,6627692789405742643,1387,0,0,0
structural-rate-0.01,,5,e81dc56f6efa904e,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,46,4,54,1,5,1,3,6706,3,54,54,0,0.0,1188,12,-3.7e-09,1,14,14.0,14.0,14,0,756,0,0,1416,cd7c6fd59ad768410cff327f541dcee7b19cba8241b163d589aa4aa6e4004e76,0.5,0.01,0,0,0,0,15305884129389079899,1553,0,0,0
structural-rate-0.01,,6,e1f973273b39c200,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,49,7,54,3,10,4,3,6941,6,52,52,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,2,1,1460,512624294266d6709dfbf3fb3e7023f25cf8132e1848dba24f2bcd9e10e422cd,0.5,0.01,-1,3,3,0,5049781151756025018,1455,0,3,0
structural-rate-0.01,,7,52c911bf3addd824,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,47,5,54,2,7,2,3,6771,4,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,1,0,1432,76b455a8df0f8ca0563611fa1698ca6413ccb3b5b5a13085061c46d71f39fcf5,0.5,0.01,-1,1,1,0,8721935391758617286,1429,0,1,0
structural-rate-0.01,,8,b10d12064a691265,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,46,4,54,1,5,1,3,5924,4,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,0,0,1430,056ee50c70f9dd281c32e8926176b99609308fb73d17ef4d6636cb8aa1a82542,0.5,0.01,0,0,0,0,5266136315994256061,1427,0,0,0
structural-rate-0.025,,1,bde53ab3d66171f4,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,48,6,54,1,7,1,3,7184,5,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,2,3,1460,8c0e9554d1d631df3cccbdd88af9a6c2c95cd00af8addceb088a233b48704f9c,0.5,0.025,1,5,5,0,9376666683055484113,1443,0,2,0
structural-rate-0.025,,2,a7cbf4a0e3001d5f,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,47,5,54,5,10,4,3,6114,5,54,54,0,0.0,1188,12,-3.6e-09,1,14,14.0,14.0,14,0,756,2,2,1442,7ffeddafc5f8c49ebb954819c286acc28de2b3181d6b74b49669470612f4fa7f,0.5,0.025,0,4,4,0,4778355428363295131,1440,0,1,0
structural-rate-0.025,,3,7bb64372f99ae473,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,54,45,3,54,4,7,4,3,5771,3,53,53,0,0.0,1189,11,-3.6e-09,2,15,14.018518518518519,14.0,14,0.018175582990397805,757,1,2,1389,261d1d031a9882a57c50a3784f00043b3d9189a6742f3b7077855078960e67ab,0.5,0.025,1,3,3,0,656817422537117293,1387,1,2,0
