condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,distinct_genome_lengths,genome_length_maximum,genome_length_mean,genome_length_median,genome_length_minimum,genome_length_variance,genome_memory_used,instruction_deletion_operations,instruction_duplication_operations,replication_copy_operations,result_checksum,structural_duplication_probability,structural_event_rate,structural_length_delta_total,structural_mutation_committed_operations,structural_mutation_operations,structural_mutation_rejected_operations,structural_rng_seed,template_jump_operations,variable_length_active_population,variable_length_births,variable_length_reproducing_offspring
structural-rate-0.00,,1,db7bd6b77eccd60e,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,42,3,45,2,5,2,3,5062,3,45,45,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,0,0,1221,8fcb157efc28ba7f92ec3f3ab6e8eaf5b3bad0b6e57a83e32c17a6bbbf73fac1,0.5,0.0,0,0,0,0,9376666683055484113,1219,0,0,0
structural-rate-0.00,,2,b65bd2ae2ccb58a0,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,50,11,45,3,14,3,4,9758,10,44,44,0,0.0,990,10,3.2e-09,1,14,14.0,14,14,0,630,0,0,1377,31cafaf61a6af912328c56714ddecf9dac2560be5f693d2c3ad5463fee881389,0.5,0.0,0,0,0,0,4778355428363295131,2040,0,0,0
structural-rate-0.00,,3,16770c3ccdf8fe6b,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,43,4,45,4,8,4,4,5220,4,44,44,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,0,0,1248,0c8d1f60de2ca327d3d0caae6962ce7a9d5473ec403b3363021c75a2f9450d8e,0.5,0.0,0,0,0,0,656817422537117293,1245,0,0,0
structural-rate-0.00,,4,142dd85eb9ee9c10,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,43,4,45,4,8,4,3,8009,3,45,45,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,0,0,1248,b78672dc3dde09a58eb5ae8e5e4b89f6b05c01bbe16c8b05fc775fef55bbcc14,0.5,0.0,0,0,0,0,6627692789405742643,1708,0,0,0
structural-rate-0.00,,5,9c3ec64b5a8062d2,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,47,8,45,1,9,1,3,12263,6,45,45,0,0.0,990,10,3.1e-09,1,14,14.0,14,14,0,630,0,0,1335,ecf7a3c618046e9bb04dab79c9a96497bc796c76a0214d95483fbbc67674cfa4,0.5,0.0,0,0,0,0,15305884129389079899,4500,0,0,0
structural-rate-0.00,,6,20c0ebd4f63ec2d2,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,47,8,45,3,11,3,3,7443,7,44,44,0,0.0,990,10,3.2e-09,1,14,14.0,14,14,0,630,0,0,1347,a13dda8efe06173a0d78a73a905b93590dc7420916aaecd55174a74dd9cdd219,0.5,0.0,0,0,0,0,5049781151756025018,1323,0,0,0
structural-rate-0.00,,7,557c076b602c0dc6,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,43,4,45,1,5,1,3,7735,2,45,45,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,0,0,1275,e6939834ab06f309de8882b3dcbe39ae8167a07c90142728424b2ff174d39fa6,0.5,0.0,0,0,0,0,8721935391758617286,1673,0,0,0
structural-rate-0.00,,8,2747c3c816e73382,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,42,3,45,1,4,1,3,7592,2,45,45,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,0,0,1234,def0be142feadc854546b6b652f44c9b21b990e625ab3704e3d83615e1baa9f4,0.5,0.0,0,0,0,0,5266136315994256061,1218,0,0,0
structural-rate-0.01,,1,ee86129e69bc727d,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,42,3,45,2,5,2,3,5062,3,45,45,0,0.0,990,10,3e-09,1,14,14.0,14,14,0,630,1,1,1221,954e1449abc78d9c5690b4fea589c07c8e546b539e61e624d579757a8277caae,0.5,0.01,0,2,2,0,9376666683055484113,1219,0,1,0
structural-rate-0.01,,2,2773fd235b62aa2d,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,1000,45,50,11,45,3,14,3,4,9758,10,44,44,0,0.0,990,10,3.2e-09,1,14,14.0,14,14,0,630,1,1,1377,436f6470510a1f4c2e244b446a9ee817cda45739f4a6b9be0968a6a89a436a81,0.5,0.01,0,2,2,0,4778355428363295131,2040,0,1,0
