condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,distinct_genome_lengths,genome_length_maximum,genome_length_mean,genome_length_median,genome_length_minimum,genome_length_variance,genome_memory_used,instruction_deletion_operations,instruction_duplication_operations,replication_copy_operations,result_checksum,structural_duplication_probability,structural_event_rate,structural_length_delta_total,structural_mutation_committed_operations,structural_mutation_operations,structural_mutation_rejected_operations,structural_rng_seed,template_jump_operations,variable_length_active_population,variable_length_births,variable_length_reproducing_offspring
structural-off,,1,87971ff7a8f86902,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,48,6,54,1,7,1,3,7746,4,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1473,de4956a1738f507e970c2de52fc339bb3c3d0b53b68366a53a2d4d11aa4a9085,0.5,0.0,0,0,0,0,9376666683055484113,1537,0,0,0
structural-off,,2,9f9d63076af73f9b,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,46,4,54,5,9,4,3,6004,4,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1415,aa64f046c01b90b13e2c6c54aaf3dd1431f5323b68cd606720af14ecb52cf438,0.5,0.0,0,0,0,0,4778355428363295131,1414,0,0,0
structural-off,,3,f1dd29d1496268fd,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,46,4,54,2,6,2,3,5815,4,53,53,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1403,1258dbb7bd5d8ab030175375cb9e67e69298caca361369744f31d5e50d1d6d21,0.5,0.0,0,0,0,0,656817422537117293,1400,0,0,0
structural-off,,4,49e8c6909409e999,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,45,3,54,1,4,1,3,5757,3,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1389,dcf69c8c86b3c8f68433f45f73dd228775528d2eda3e0ffa5aa277ee99d29129,0.5,0.0,0,0,0,0,6627692789405742643,1387,0,0,0
structural-off,,5,9f14685c1b7a3601,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,46,4,54,1,5,1,3,6706,3,54,54,0,0.0,1188,12,-4.36e-08,1,14,14.0,14.0,14,0,756,0,0,1416,cab62544383ec2b1a36f9914a706a29bf740edba5a837e43387a3ac9b6603d07,0.5,0.0,0,0,0,0,15305884129389079899,1553,0,0,0
structural-off,,6,52f44b8e3f094c33,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,47,5,54,4,9,5,3,6783,4,51,51,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1418,abed3aedb3b61c9f6cd4987e569548aefbd1d84c200cf20bcbccd6477f145da9,0.5,0.0,0,0,0,0,5049781151756025018,1414,0,0,0
structural-off,,7,b6e4ebd24d5e4442,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,47,5,54,1,6,1,3,6882,4,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1458,c493ce275253363a0f49a908da2971e9a30644a5ce128e83b962295524cf231e,0.5,0.0,0,0,0,0,8721935391758617286,1455,0,0,0
structural-off,,8,0e50fbb8eb7e1e29,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,46,4,54,1,5,1,3,5924,4,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1430,3e604b1ca27c71b58bd38db5e0c588bfbe46aa6ebf28a221b40f2e79d0700ca0,0.5,0.0,0,0,0,0,5266136315994256061,1427,0,0,0
structural-off,,9,7872903c69dfd653,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,45,3,54,1,4,1,3,6619,2,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1415,fdcdd063b19132ef29f76738ad11a2ed38d23640e3219617173d0c6973cc3bb3,0.5,0.0,0,0,0,0,1553881840899152172,1534,0,0,0
structural-off,,10,9068a285fc042b34,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,48,6,54,1,7,1,3,7552,5,54,54,0,0.0,1188,12,-4.35e-08,1,14,14.0,14.0,14,0,756,0,0,1459,aaa115aad1f5ebbe4fedbf3b6d6dbff41d9e8282341e3c2a6cbf2fcf4a176873,0.5,0.0,0,0,0,0,14098539787184474052,1786,0,0,0
structural-off,,11,c303e173f87e10ff,phase-five-vm-0.2,phase-five-measurement-0.2,phase-five-evolvability-0.1,,,,,,,,,,,,,,,,,,,,,,,,,2000,54,43,1,54,1,2,1,3,5631,1,54,54,0,0.0,1188,12,-4.36e-08,1,14,14.0,14.0,14,0,756,0,0,1359,e95591675951a55cf2151436f9292363201ff9273c82aa45a65d48765b8e35df,0.5,0.0,0,0,0,0,16743297988408547768,1358,0,0,0
