condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,atomic_movement_payment_enabled,local_resource_maximum,movement_nonzero_operations,movement_step_mutation_rate,movement_uncommitted_distance,movement_uncommitted_execution_energy_batches,movement_uncommitted_movement_energy_batches,movement_uncommitted_nonzero_operations,movement_uncommitted_operations,movement_zero_step_operations,resource_allocation_cv,resource_distribution_mode,resource_heterogeneity_cv,result_checksum
sensing-execution-off-movement-on,,1,3548c92536d10f38,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,165,0,0.998884,,4.903226,5.365846,14,0.14,True,True,26436.022727,0.0,6.3e-09,,0,17,17.0,1.7,,,,2000,31,165,146,31,2,16,2,17,11936,13,31,31,0,0.0,496,4,-4.8e-09,True,1863.636364,17,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.690483,6b978704867cc9d7494dd912c2a2f15e330afe9ff4284ce8579c93c68a655ca0
sensing-execution-off-movement-on,,2,962a237fa8f2866c,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,True,35056.772727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.816303,5870a287f1c3c0f9d9f49429e8db38a3956dff2da87360d6a8c254f7a1ff80ee
sensing-execution-off-movement-on,,3,fdecf4dcb61f9327,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,67,1,1.07896,,9.032258,4.695424,12,0.12,True,True,35379.681818,0.0,-3e-10,,0,8,8.0,0.8,,,,2000,31,67,48,31,1,4,1,9,4972,2,27,27,0,0.0,496,4,6e-10,True,1863.636364,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.814444,8fd73963e9585797303621635bb8a6021dafdbea59e961dec2bf5e46b08b44bb
sensing-execution-off-movement-on,,4,ea8f54b146450809,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,69,0,0.925536,,2.0,7.440763,10,0.1,True,True,34620.995455,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,15,69,66,25,2,4,2,6,5181,2,12,0,12,0.0,240,260,1.5e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.919105,77b3310247f78d95eea850c6cf8290b7f5507297b07f1c51ae15146b89f123ec
sensing-execution-off-movement-on,,5,9720f038a3a628a4,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,157,0,1.012692,,2.333333,5.575217,12,0.12,True,True,30609.472727,0.0,1.7e-09,,0,10,9.0,0.9,,,,2000,24,157,145,31,2,17,2,28,10591,15,24,0,24,0.0,384,116,4.1e-09,True,1863.636364,9,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.802199,ca408c9ddbc248eb228bf6ee1dc097dffebb1e14046a54b09fe756c6f73bd0e1
sensing-execution-off-movement-on,,6,7025c42d8c1ef476,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,117,1,0.994371,,1.0,6.758162,12,0.12,True,True,31639.140909,0.0,-0.0,,0,0,0.0,0.0,,,,2000,18,117,111,31,1,5,1,15,7681,4,18,0,18,0.0,288,212,3.7e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.869786,64b289100e485320a61b5f1c59c0fe41acfc2364de7fc148affbeb1e61bdd402
sensing-execution-off-movement-on,,7,373ff1e4b1fa98c6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,114,0,0.94713,,0.8,11.684348,9,0.09,True,True,33364.268182,0.0,-2.2e-09,,0,1,1.0,0.1,,,,2000,15,114,111,31,1,9,1,18,7768,8,15,0,15,0.0,240,260,2.1e-09,True,1863.636364,1,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.7935,2f5f77350771c480c1facd5db86f77e9c93e06a5781ffcc1d8dddb64349ffd02
sensing-execution-off-movement-on,,8,33c19b30247c93b6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,119,3,0.912756,,0.727273,9.682478,6,0.06,True,True,34089.118182,0.0,-1e-09,,0,1,0.0,0.0,,,,2000,11,119,120,31,3,14,3,21,9479,5,10,0,10,0.0,176,324,1.3e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.758962,c584d03df1a342e880abf38a9f6fa4379065e48441bda1b3bc1869ad46112d2e
sensing-execution-on-movement-on,,1,99a4074bb889b732,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,194,1,0.977816,,1.0,8.265287,14,0.14,True,True,28161.959091,0.0,5.8e-09,,74,16,16.0,1.6,,,,2000,20,194,186,31,1,18,1,25,13534,14,20,0,20,0.0,320,180,-2.1e-09,True,1863.636364,16,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.777074,274b9e6c8440775aebda85146895e7a4353d3d347403dc9b18b4ae7d45a58725
sensing-execution-on-movement-on,,2,6d51669770e48f1f,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,True,35056.772727,0.0,-1.5e-09,,8,0,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.816303,74dc4672323e18b5421af0d7c9db8d36b460ad538beea80f728192e27ae21c0a
