condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,atomic_movement_payment_enabled,local_resource_maximum,movement_nonzero_operations,movement_step_mutation_rate,movement_uncommitted_distance,movement_uncommitted_execution_energy_batches,movement_uncommitted_movement_energy_batches,movement_uncommitted_nonzero_operations,movement_uncommitted_operations,movement_zero_step_operations,resource_allocation_cv,resource_distribution_mode,resource_heterogeneity_cv,result_checksum
sensing-execution-off-movement-on,,1,8ebaf9ac36faaf55,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,81,0,0.999394,,1.714286,8.440132,13,0.13,True,True,12335.981818,0.0,4e-10,,0,8,8.0,0.8,,,,800,21,81,72,27,3,11,3,12,5673,8,19,0,19,0.0,336,164,1e-09,True,772.727273,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.836784,158bd48f91425f86b3f07aeba442d126c8e36f688064edc728757f47b3cbf908
sensing-execution-off-movement-on,,2,3f37de6f861784e7,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,True,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.820561,8d085ffd3128b9d0bb9ea47dd96210a633fd7a47ab9a20d6df3d2ffc8f6a271a
sensing-execution-off-movement-on,,3,7a56b129be1c702e,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,21,0,1.32678,,0.0,14.291431,11,0.11,True,True,14881.95,0.0,-0.0,,0,8,8.0,0.8,,,,800,11,21,22,24,1,2,1,2,1921,1,11,0,11,0.0,176,324,-3e-10,True,772.727273,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.870845,35c228a91fc5bb34fdd94e40f00da0d46cabc8cbb60ab66014e7bfdcece289f9
sensing-execution-off-movement-on,,4,4d9d73ed78f0b627,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,26,0,0.938546,,0.428571,9.474799,13,0.13,True,True,14488.636364,0.0,2e-10,,0,0,0.0,0.0,,,,800,14,26,24,25,1,1,1,2,2340,0,14,0,14,0.0,224,276,-1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.910677,85e3608e7eb98f04659a383c6f99aa610c2432a95818872c6ef6637f5a4c93e5
sensing-execution-off-movement-on,,5,335c7dbf92dee85d,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,50,0,0.989518,,0.125,10.370564,11,0.11,True,True,13329.545455,0.0,7e-10,,0,0,0.0,0.0,,,,800,16,50,46,27,1,4,1,14,3746,3,15,0,15,0.0,256,244,5e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.848662,5a76915e65831cf8931b36ea583bff78d1c7deec38ec6115deb15df9a8b7f574
sensing-execution-off-movement-on,,6,cf26ccc00b82eb3c,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,40,1,0.996449,,0.0,10.760898,12,0.12,True,True,14025.227273,0.0,5e-10,,0,0,0.0,0.0,,,,800,14,40,38,27,1,2,1,7,2929,1,14,0,14,0.0,224,276,1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.870523,bf75fd142de1f8795670a63fdd3ff41f8910032ec99eac9dc68b004cdfe2d237
sensing-execution-off-movement-on,,7,6b3d48066c052b7a,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,32,0,0.97721,,0.181818,15.387144,10,0.1,True,True,14500.631818,0.0,2e-10,,0,0,0.0,0.0,,,,800,11,32,33,24,1,3,1,6,2488,2,10,0,10,0.0,176,324,-2e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.823532,fa86da9a9ead214289faf9e90b8c593e44b965a7d8fccd84fb225869d472ca3a
sensing-execution-off-movement-on,,8,806dbad94ace012f,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,36,2,0.963253,,0.181818,15.150757,10,0.1,True,True,14681.818182,0.0,1e-10,,0,1,0.0,0.0,,,,800,11,36,37,26,2,5,2,6,2876,1,10,0,10,0.0,176,324,-3e-10,True,772.727273,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.805108,bcab3b2f3ec47c4b92a52240dcf3c62af1a41a7c02b045c3521ffd989909ac97
sensing-execution-on-movement-on,,1,bae63aeb80a6ce72,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,78,1,1.002009,,2.5,8.462801,13,0.13,True,True,12172.136364,0.0,3e-10,,74,8,8.0,0.8,,,,800,24,78,66,28,1,6,1,14,6353,3,24,0,24,0.0,384,116,1.1e-09,True,772.727273,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.815884,a9f7b93fffa5a40684a5101c2f1a18464a2f5d1b4bb1550c5d5f074aea48ce04
sensing-execution-on-movement-on,,2,e95962359eca67a0,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,True,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.820561,0580aaa002b4624b3f1a73deeddf08690d8417c525c69ab56f064f14b8c69195
sensing-execution-on-movement-on,,3,d02bab004fcef9e1,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,21,0,1.32678,,0.0,14.291431,11,0.11,True,True,14881.95,0.0,-0.0,,0,8,8.0,0.8,,,,800,11,21,22,24,1,2,1,2,1921,1,11,0,11,0.0,176,324,-3e-10,True,772.727273,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.870845,394ffa0749f5a0bb8ed883051f512dd7a1283f4e0295702c5b74ed9433468fbd
sensing-execution-on-movement-on,,4,38b37aa5a967d65b,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,26,0,0.938546,,0.428571,9.474799,13,0.13,True,True,14488.636364,0.0,2e-10,,0,0,0.0,0.0,,,,800,14,26,24,25,1,1,1,2,2340,0,14,0,14,0.0,224,276,-1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.910677,331e2edd0ea1c088dfbc42a06b41e560db06790dabad089b1eac1b6c88f8beeb
sensing-execution-on-movement-on,,5,3154f20b2a98fe0a,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,50,0,0.989518,,0.125,10.370564,11,0.11,True,True,13329.545455,0.0,7e-10,,2,0,0.0,0.0,,,,800,16,50,46,27,1,4,1,14,3746,3,15,0,15,0.0,256,244,5e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.848662,03047cc5c06b2007859ca1fd297687588eb01b95fe582a320df8f764fc53d30f
sensing-execution-on-movement-on,,6,be8d91ec6b2bd0b6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,40,1,0.996449,,0.0,10.760898,12,0.12,True,True,14025.227273,0.0,5e-10,,0,0,0.0,0.0,,,,800,14,40,38,27,1,2,1,7,2929,1,14,0,14,0.0,224,276,1e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.870523,f958c7c375b4de46c02047b9d2a73fbe89750ea4d9760fe8abe9291c4bd21261
sensing-execution-on-movement-on,,7,da44e55a6957c816,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,32,0,0.97721,,0.181818,15.387144,10,0.1,True,True,14500.631818,0.0,2e-10,,0,0,0.0,0.0,,,,800,11,32,33,24,1,3,1,6,2488,2,10,0,10,0.0,176,324,-2e-10,True,772.727273,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.823532,d51dcca5111b92f5bb8d62b29980dbc0d5fdfe536cee580d6b075100eb439242
sensing-execution-on-movement-on,,8,742b243d80c31f84,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,36,2,0.963253,,0.181818,15.150757,10,0.1,True,True,14681.818182,0.0,1e-10,,0,1,0.0,0.0,,,,800,11,36,37,26,2,5,2,6,2876,1,10,0,10,0.0,176,324,-3e-10,True,772.727273,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.805108,656cb3ac5ff25ddd266fcb7b16360c16f0b7d37d4f4e4cb8384da413af045c87
