condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-actuation-atomic-execution-off,,1,dc8ec81298fb497d,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,172,3,0.905468,,2.709677,5.590479,15,0.15,True,False,25748.181818,0.0,5.8e-09,,0,0,0.0,0.0,,,,2000,31,172,153,31,1,10,1,20,11427,9,31,31,0,0.0,496,4,-4.6e-09
movement-actuation-atomic-execution-off,,2,e3ae837fdec30a48,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,62,2,0.892983,,0.5,11.619339,9,0.09,True,False,35056.772727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,12,62,62,24,1,6,1,6,4213,4,12,0,12,0.0,192,308,1.3e-09
movement-actuation-atomic-execution-off,,3,3c718349205fff1e,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,54,0,0.977006,,0.0,17.972757,10,0.1,True,False,35775.454545,0.0,-5e-10,,0,0,0.0,0.0,,,,2000,10,54,56,24,2,4,2,7,3820,2,9,0,9,0.0,160,340,7e-10
movement-actuation-atomic-execution-off,,4,50db5a2ed91e33b2,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,64,0,0.913915,,0.2,14.210227,9,0.09,True,False,34832.222727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,10,64,66,25,1,3,1,6,4459,2,10,0,10,0.0,160,340,1.5e-09
movement-actuation-atomic-execution-off,,5,31147d25747da976,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,144,1,0.952477,,0.333333,9.178256,13,0.13,True,False,31681.818182,0.0,-1e-10,,0,0,0.0,0.0,,,,2000,18,144,138,29,1,6,1,24,9456,4,17,0,17,0.0,288,212,3.3e-09
movement-actuation-atomic-execution-off,,6,410d6c7c39492468,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,122,1,0.985797,,0.235294,7.638266,12,0.12,True,False,31639.140909,0.0,-0.0,,0,0,0.0,0.0,,,,2000,17,122,117,31,1,5,1,15,7994,4,17,0,17,0.0,272,228,3.6e-09
movement-actuation-atomic-execution-off,,7,930144f223275f80,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,127,0,0.941486,,10.0,5.555225,11,0.11,True,False,31500.631818,0.0,-5e-10,,0,0,0.0,0.0,,,,2000,31,127,108,31,1,9,1,19,9437,8,29,29,0,0.0,496,4,2.9e-09
movement-actuation-atomic-execution-off,,8,52f1c0d10f54d5d9,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,79,4,0.907288,,0.222222,12.16836,8,0.08,True,False,35853.890909,0.0,-1e-09,,0,0,0.0,0.0,,,,2000,9,79,82,26,3,11,3,17,5165,4,7,0,7,0.0,144,356,3e-10
movement-actuation-atomic-execution-off,,9,012113b5bb365929,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,165,0,0.96932,,3.448276,5.001232,11,0.11,True,False,30352.063636,0.0,1.3e-09,,0,0,0.0,0.0,,,,2000,29,165,148,31,3,18,3,21,11357,14,26,0,26,0.0,464,36,4e-09
movement-actuation-atomic-execution-off,,10,e05e7f15c8a20d20,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,148,3,0.930526,,0.363636,14.882931,9,0.09,True,False,32872.272727,0.0,-2.7e-09,,0,0,0.0,0.0,,,,2000,11,148,149,28,2,19,2,31,9557,13,10,0,10,0.0,176,324,2.2e-09
movement-actuation-atomic-execution-off,,11,26cc19698c579277,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,147,0,0.939006,,2.846154,7.224173,15,0.15,True,False,28420.454545,0.0,5e-09,,0,0,0.0,0.0,,,,2000,26,147,133,31,1,6,1,13,10269,4,25,0,25,0.0,416,84,-3.4e-09
