condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-execution-off,,1,41bb89004a9adc3c,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,191,1,0.905349,,1.44,6.313006,13,0.13,True,False,27798.863636,0.0,6.7e-09,,0,0,0.0,0.0,,,,2000,25,191,178,31,4,24,4,18,13368,18,24,0,24,0.0,400,100,-3.1e-09
movement-execution-off,,2,8423e3d09e4c8001,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,False,35056.772727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09
movement-execution-off,,3,8789b412c0f798a3,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,45,0,0.977331,,0.0,13.307406,10,0.1,True,False,36046.745455,0.0,-5e-10,,0,0,0.0,0.0,,,,2000,10,45,47,24,1,3,1,4,3001,2,10,0,10,0.0,160,340,6e-10
movement-execution-off,,4,0cde083163d798f8,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,69,0,0.925536,,1.285714,9.511864,11,0.11,True,False,34870.863636,0.0,-1.2e-09,,0,0,0.0,0.0,,,,2000,14,69,67,26,1,3,1,7,4864,2,14,0,14,0.0,224,276,1.3e-09
movement-execution-off,,5,cc3f8be44170c580,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,145,0,0.956291,,0.5,11.187219,12,0.12,True,False,31812.272727,0.0,-5e-10,,0,0,0.0,0.0,,,,2000,16,145,141,27,1,8,1,21,8997,7,16,0,16,0.0,256,244,3.2e-09
movement-execution-off,,6,7fbe867d8badda50,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,83,2,0.979905,,0.125,8.533809,13,0.13,True,False,33071.363636,0.0,-3.5e-09,,0,0,0.0,0.0,,,,2000,16,83,79,27,2,4,2,7,5492,2,16,0,16,0.0,256,244,2.8e-09
movement-execution-off,,7,17c02a0777899ba1,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,138,0,0.947663,,0.461538,11.21966,10,0.1,True,False,32915.963636,0.0,-2.2e-09,,0,0,0.0,0.0,,,,2000,13,138,137,31,1,12,1,20,9783,10,13,0,13,0.0,208,292,2.2e-09
movement-execution-off,,8,a9be0db261591f0b,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,118,2,0.913883,,0.923077,10.085942,10,0.1,True,False,33325.272727,0.0,-2.4e-09,,0,0,0.0,0.0,,,,2000,13,118,117,31,2,13,2,16,10807,6,12,0,12,0.0,208,292,1.9e-09
movement-execution-off,,9,fb9e4a6d090cc91c,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,139,0,0.943046,,1.368421,7.521693,11,0.11,True,False,30919.422727,0.0,1.4e-09,,0,0,0.0,0.0,,,,2000,19,139,132,31,2,15,2,18,10431,10,18,0,18,0.0,304,196,3.9e-09
movement-execution-off,,10,666d4b67f3c683e7,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,148,3,0.930526,,0.363636,14.882931,9,0.09,True,False,32872.272727,0.0,-2.7e-09,,0,0,0.0,0.0,,,,2000,11,148,149,28,2,19,2,31,9557,13,10,0,10,0.0,176,324,2.2e-09
movement-execution-on,,1,33b6271dfa433cd9,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,191,1,0.905349,,1.44,6.313006,13,0.13,True,True,27798.863636,0.0,6.7e-09,,0,75,0.0,0.0,,,,2000,25,191,178,31,4,24,4,18,13368,18,24,0,24,0.0,400,100,-3.1e-09
movement-execution-on,,2,95db676ea3d67a74,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,True,35056.772727,0.0,-1.5e-09,,0,8,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09
movement-execution-on,,3,53b98b389f266f19,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,45,0,0.99403,,0.0,13.307406,10,0.1,True,True,36046.645455,0.0,-5e-10,,0,9,1.0,0.1,,,,2000,10,45,47,24,1,3,1,4,3001,2,10,0,10,0.0,160,340,6e-10
movement-execution-on,,4,31f57fa3ea066d38,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,69,0,0.925536,,1.285714,9.511864,11,0.11,True,True,34870.863636,0.0,-1.2e-09,,0,0,0.0,0.0,,,,2000,14,69,67,26,1,3,1,7,4864,2,14,0,14,0.0,224,276,1.3e-09
movement-execution-on,,5,d50c635534451bc6,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,145,0,0.953379,,0.5,11.187219,12,0.12,True,True,31812.272727,0.0,-5e-10,,0,2,1.0,0.1,,,,2000,16,145,141,27,1,8,1,21,8989,7,16,0,16,0.0,256,244,3.2e-09
movement-execution-on,,6,e0a1da12b37aec28,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,83,2,0.979905,,0.125,8.533809,13,0.13,True,True,33071.363636,0.0,-3.5e-09,,0,0,0.0,0.0,,,,2000,16,83,79,27,2,4,2,7,5492,2,16,0,16,0.0,256,244,2.8e-09
movement-execution-on,,7,0f6a5c6aa83f0f67,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,138,0,0.947663,,0.461538,11.21966,10,0.1,True,True,32915.963636,0.0,-2.2e-09,,0,1,0.0,0.0,,,,2000,13,138,137,31,1,12,1,20,9783,10,13,0,13,0.0,208,292,2.2e-09
movement-execution-on,,8,f210eb7f3ffb57d2,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,118,2,0.913883,,0.923077,10.085942,10,0.1,True,True,33325.272727,0.0,-2.4e-09,,0,9,0.0,0.0,,,,2000,13,118,117,31,2,13,2,16,10807,6,12,0,12,0.0,208,292,1.9e-09
movement-execution-on,,9,1dcc637ffa68ffce,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,139,0,0.943046,,1.368421,7.521693,11,0.11,True,True,30919.422727,0.0,1.4e-09,,0,17,0.0,0.0,,,,2000,19,139,132,31,2,15,2,18,10431,10,18,0,18,0.0,304,196,3.9e-09
