condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-execution-off,,1,8a360b295fbc0ed9,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,88,0,0.928276,,5.225806,4.780046,13,0.13,True,False,11672.427273,0.0,-0.0,,0,0,0.0,0.0,,,,800,31,88,69,31,2,13,2,9,7029,9,31,31,0,0.0,496,4,1.3e-09
movement-execution-off,,2,c6887752f0fffa22,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,False,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10
movement-execution-off,,3,c44c5d5d9d861ea7,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,22,0,0.966877,,0.0,15.151859,11,0.11,True,False,14875.0,0.0,-0.0,,0,0,0.0,0.0,,,,800,11,22,23,24,1,2,1,2,1947,1,11,0,11,0.0,176,324,-3e-10
movement-execution-off,,4,d1ee60b579bca7c2,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,29,0,0.926124,,0.153846,10.329627,13,0.13,True,False,14488.636364,0.0,3e-10,,0,0,0.0,0.0,,,,800,13,29,28,25,1,1,1,2,2456,0,12,0,12,0.0,208,292,-1e-10
movement-execution-off,,5,a2d0b8431be34f04,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,50,0,0.989518,,0.125,10.370564,11,0.11,True,False,13329.545455,0.0,7e-10,,0,0,0.0,0.0,,,,800,16,50,46,27,1,4,1,14,3746,3,15,0,15,0.0,256,244,5e-10
movement-execution-off,,6,711be0190f59438c,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,36,1,1.000277,,0.75,8.655863,13,0.13,True,False,13988.227273,0.0,5e-10,,0,0,0.0,0.0,,,,800,16,36,32,27,1,3,1,5,2804,2,15,0,15,0.0,256,244,2e-10
movement-execution-off,,7,8af43a32000005a2,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,32,0,0.97721,,0.181818,15.387144,10,0.1,True,False,14500.631818,0.0,2e-10,,0,0,0.0,0.0,,,,800,11,32,33,24,1,3,1,6,2488,2,10,0,10,0.0,176,324,-2e-10
movement-execution-off,,8,fa9da530c9168a17,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,42,1,0.925769,,0.2,13.444577,8,0.08,True,False,14692.5,0.0,1e-10,,0,0,0.0,0.0,,,,800,10,42,44,26,1,8,1,9,3651,3,10,0,10,0.0,160,340,-2e-10
movement-execution-on,,1,ec59fa1d56f87167,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,88,0,0.928276,,5.225806,4.780046,13,0.13,True,True,11672.427273,0.0,-0.0,,0,72,0.0,0.0,,,,800,31,88,69,31,2,13,2,9,7029,9,31,31,0,0.0,496,4,1.3e-09
movement-execution-on,,2,3c34e2bfb610df22,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,True,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10
