condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
sensing-execution-off,,1,cb537039b002a0fc,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,233,1,0.896352,,1.363636,7.579294,12,0.12,True,False,27439.795455,0.0,6.5e-09,,0,0,0.0,0.0,,,,2000,22,233,223,31,2,16,2,28,15438,14,21,0,21,0.0,352,148,-2.5e-09
sensing-execution-off,,2,76076ff561e93996,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,False,35056.772727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09
sensing-execution-off,,3,4c862070e54cefb7,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,54,0,0.977006,,0.2,14.633118,9,0.09,True,False,35608.990909,0.0,-1.3e-09,,0,0,0.0,0.0,,,,2000,10,54,56,24,1,5,1,5,3982,3,10,0,10,0.0,160,340,9e-10
sensing-execution-off,,4,1b56d1d6a48d6501,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,61,0,0.908738,,0.0,11.027611,12,0.12,True,False,34920.609091,0.0,-1.9e-09,,0,0,0.0,0.0,,,,2000,12,61,61,25,1,2,1,5,4156,1,12,0,12,0.0,192,308,1.4e-09
sensing-execution-off,,5,3ab957049f4697d2,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,145,0,0.956291,,0.5,11.187219,12,0.12,True,False,31812.272727,0.0,-5e-10,,0,0,0.0,0.0,,,,2000,16,145,141,27,1,8,1,21,8997,7,16,0,16,0.0,256,244,3.2e-09
sensing-execution-off,,6,ddf73452e17b8844,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,117,1,0.994371,,1.0,6.758162,12,0.12,True,False,31639.140909,0.0,-0.0,,0,0,0.0,0.0,,,,2000,18,117,111,31,1,5,1,15,7681,4,18,0,18,0.0,288,212,3.7e-09
sensing-execution-off,,7,4d718a5580c18e8c,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,121,0,0.93756,,9.290323,5.472898,11,0.11,True,False,31424.631818,0.0,-4e-10,,0,0,0.0,0.0,,,,2000,31,121,102,31,1,7,1,19,8999,6,31,31,0,0.0,496,4,2.9e-09
sensing-execution-off,,8,0371012ea1efe5a6,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,110,1,0.918393,,0.4,13.943879,8,0.08,True,False,35219.290909,0.0,-1.2e-09,,0,0,0.0,0.0,,,,2000,10,110,112,26,2,10,1,28,7467,6,10,0,10,0.0,160,340,5e-10
sensing-execution-off,,9,fc1d35e22e863c99,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,144,0,0.942865,,3.1,6.732872,11,0.11,True,False,30700.154545,0.0,8e-10,,0,0,0.0,0.0,,,,2000,20,144,136,31,3,18,3,23,9989,13,18,0,18,0.0,320,180,3.7e-09
sensing-execution-off,,10,3e279130b933251c,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,151,0,0.939053,,6.322581,4.079371,13,0.13,True,False,29788.563636,0.0,1.7e-09,,0,0,0.0,0.0,,,,2000,31,151,132,31,2,12,2,30,10466,9,30,30,0,0.0,496,4,4e-09
