condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
sensing-execution-off,,1,82df9953962deac1,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,101,1,0.910078,,2.774194,5.668855,14,0.14,True,False,11425.363636,0.0,-1e-10,,0,0,0.0,0.0,,,,800,31,101,82,31,1,8,1,13,7285,7,31,31,0,0.0,496,4,1.4e-09
sensing-execution-off,,2,132cdd0c274af4f1,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,False,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10
sensing-execution-off,,3,a61f5ee3404b0192,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,21,0,0.964814,,0.0,14.020801,11,0.11,True,False,14875.0,0.0,-0.0,,0,0,0.0,0.0,,,,800,11,21,22,24,1,2,1,2,2088,0,11,0,11,0.0,176,324,-3e-10
sensing-execution-off,,4,a429d0bba9a59aac,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,32,0,0.932718,,0.823529,7.349007,13,0.13,True,False,14348.636364,0.0,3e-10,,0,0,0.0,0.0,,,,800,17,32,27,25,1,1,1,4,2718,0,16,0,16,0.0,272,228,-1e-10
sensing-execution-off,,5,e7e414dac13d87f7,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,50,0,0.989518,,0.125,10.370564,11,0.11,True,False,13329.545455,0.0,7e-10,,0,0,0.0,0.0,,,,800,16,50,46,27,1,4,1,14,3746,3,15,0,15,0.0,256,244,5e-10
sensing-execution-off,,6,1a6dd087d13faa99,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,40,1,0.996449,,0.0,10.760898,12,0.12,True,False,14025.227273,0.0,5e-10,,0,0,0.0,0.0,,,,800,14,40,38,27,1,2,1,7,2929,1,14,0,14,0.0,224,276,1e-10
sensing-execution-off,,7,4fe2f1fa91436b44,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,32,0,0.97721,,0.181818,15.387144,10,0.1,True,False,14500.631818,0.0,2e-10,,0,0,0.0,0.0,,,,800,11,32,33,24,1,3,1,6,2488,2,10,0,10,0.0,176,324,-2e-10
sensing-execution-off,,8,ed1f4a9b68111ac4,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,47,1,0.947709,,0.0,16.851347,9,0.09,True,False,14681.818182,0.0,1e-10,,0,0,0.0,0.0,,,,800,10,47,49,26,2,4,1,15,3479,1,10,0,10,0.0,160,340,-2e-10
sensing-execution-on,,1,757074e1b2a73359,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,101,1,0.910078,,2.774194,5.668855,14,0.14,True,True,11425.363636,0.0,-1e-10,,1,0,0.0,0.0,,,,800,31,101,82,31,1,8,1,13,7285,7,31,31,0,0.0,496,4,1.4e-09
sensing-execution-on,,2,9dba465d3483d3db,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,25,0,0.928528,,0.333333,14.264941,10,0.1,True,True,14518.840909,0.0,2e-10,,0,0,0.0,0.0,,,,800,12,25,25,24,1,3,1,3,2105,1,12,0,12,0.0,192,308,-1e-10
sensing-execution-on,,3,f61fa3db74d7c07c,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,21,0,0.964814,,0.0,14.020801,11,0.11,True,True,14875.0,0.0,-0.0,,0,0,0.0,0.0,,,,800,11,21,22,24,1,2,1,2,2088,0,11,0,11,0.0,176,324,-3e-10
sensing-execution-on,,4,93bf33772dfe5231,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,32,0,0.932718,,0.823529,7.349007,13,0.13,True,True,14348.636364,0.0,3e-10,,0,0,0.0,0.0,,,,800,17,32,27,25,1,1,1,4,2718,0,16,0,16,0.0,272,228,-1e-10
sensing-execution-on,,5,3edec73ed3192211,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,50,0,0.989518,,0.125,10.370564,11,0.11,True,True,13329.545455,0.0,7e-10,,2,0,0.0,0.0,,,,800,16,50,46,27,1,4,1,14,3746,3,15,0,15,0.0,256,244,5e-10
sensing-execution-on,,6,a79c057e457b1774,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,40,1,0.996449,,0.0,10.760898,12,0.12,True,True,14025.227273,0.0,5e-10,,0,0,0.0,0.0,,,,800,14,40,38,27,1,2,1,7,2929,1,14,0,14,0.0,224,276,1e-10
sensing-execution-on,,7,9af128faf22de074,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,32,0,0.97721,,0.181818,15.387144,10,0.1,True,True,14500.631818,0.0,2e-10,,0,0,0.0,0.0,,,,800,11,32,33,24,1,3,1,6,2488,2,10,0,10,0.0,176,324,-2e-10
sensing-execution-on,,8,e993bb541fb6edb8,phase-three-vm-0.1,phase-three-measurement-0.1,phase-three-environment-0.1,True,reflective,,50,2,0.948153,,0.181818,14.654233,9,0.09,True,True,14560.227273,0.0,1e-10,,51,0,0.0,0.0,,,,800,11,50,51,26,2,4,1,13,3996,0,9,0,9,0.0,176,324,-3e-10
