seed,uniform_active_population,patch_active_population,delta_active_population,uniform_births,patch_births,delta_births,uniform_deaths,patch_deaths,delta_deaths,uniform_historical_genotypes,patch_historical_genotypes,delta_historical_genotypes,uniform_max_generation,patch_max_generation,delta_max_generation,uniform_blocked_divisions,patch_blocked_divisions,delta_blocked_divisions,uniform_waiting_for_energy,patch_waiting_for_energy,delta_waiting_for_energy,uniform_memory_used,patch_memory_used,delta_memory_used,uniform_mean_local_neighbors,patch_mean_local_neighbors,delta_mean_local_neighbors,uniform_mean_nearest_neighbor_distance,patch_mean_nearest_neighbor_distance,delta_mean_nearest_neighbor_distance,uniform_local_resource_total,patch_local_resource_total,delta_local_resource_total,uniform_resource_heterogeneity_cv,patch_resource_heterogeneity_cv,delta_resource_heterogeneity_cv
1,8,22,14,187,224,37,191,214,23,20,16,-4,13,30,17,7,20,13,7,20,13,128,352,224,0.0,0.454545,0.454545,19.852506,8.757597,-11.094909000000001,32397.164286,27716.363636,-4680.800650000001,0.474479,0.802691,0.32821200000000006
2,13,12,-1,146,61,-85,145,61,-84,15,6,-9,13,6,-7,12,12,0,12,12,0,208,192,-16,2.615385,0.166667,-2.448718,6.94437,12.024438,5.080068,34303.357143,35056.772727,753.4155840000021,0.410134,0.816303,0.406169
3,11,11,0,180,54,-126,181,55,-126,12,5,-7,12,5,-7,9,11,2,9,11,2,176,176,0,0.0,0.181818,0.181818,12.01647,14.725699,2.7092290000000006,32844.621429,35575.881818,2731.2603890000028,0.475653,0.882263,0.40661
4,8,12,4,161,61,-100,165,61,-104,13,2,-11,13,5,-8,8,12,4,8,12,4,128,192,64,0.25,0.0,-0.25,7.545089,11.027611,3.4825220000000003,33351.6,34920.609091,1569.009091,0.425851,0.908394,0.48254300000000006
5,4,12,8,103,95,-8,111,95,-16,10,6,-4,11,16,5,2,11,9,2,11,9,64,192,128,0.0,0.333333,0.333333,37.968761,16.028494,-21.940267000000002,35479.478571,32830.177273,-2649.3012979999985,0.35592,0.813326,0.457406
6,31,17,-14,226,121,-105,207,116,-91,19,5,-14,16,16,0,26,17,-9,2,17,15,496,272,-224,5.032258,1.058824,-3.9734339999999997,1.844825,7.267812,5.422987,30677.085714,31656.413636,979.3279220000004,0.496235,0.868695,0.37246
7,8,31,23,122,121,-1,126,102,-24,10,7,-3,12,19,7,7,31,24,7,0,-7,128,496,368,0.25,9.290323,9.040323,17.609016,5.472898,-12.136118,34745.078571,31424.631818,-3320.4467529999965,0.389699,0.75575,0.366051
8,4,15,11,85,157,72,93,154,61,9,15,6,11,17,6,3,14,11,3,14,11,64,240,176,0.0,1.2,1.2,24.357131,7.774166,-16.582964999999998,36672.792857,31466.518182,-5206.274675000001,0.322196,0.763332,0.44113600000000003
9,31,23,-8,179,140,-39,160,129,-31,10,18,8,14,24,10,29,21,-8,0,21,21,496,368,-128,3.935484,4.782609,0.8471249999999997,3.725736,6.165178,2.439442,30973.842857,30700.154545,-273.6883119999984,0.536505,0.796983,0.260478
10,6,31,25,152,151,-1,158,132,-26,15,12,-3,12,30,18,6,30,24,6,0,-6,96,496,400,0.333333,6.322581,5.989248,11.603527,4.079371,-7.524156,33530.121429,29788.563636,-3741.557793,0.426714,0.838271,0.411557
11,4,19,15,141,177,36,149,170,21,17,8,-9,11,21,10,3,17,14,3,17,14,64,304,240,0.0,0.421053,0.421053,43.08302,10.455009,-32.628011,34225.442857,30330.931818,-3894.511039000001,0.386405,0.817542,0.431137
12,16,26,10,148,127,-21,144,113,-31,9,14,5,13,19,6,14,24,10,14,24,10,256,416,160,1.75,4.461538,2.711538,8.292567,5.198884,-3.0936830000000004,33720.342857,31870.454545,-1849.8883120000028,0.432655,0.858942,0.42628699999999997
13,7,10,3,130,74,-56,135,76,-59,19,8,-11,11,6,-5,5,9,4,5,9,4,112,160,48,0.571429,0.4,-0.17142899999999994,20.437198,10.109645,-10.327552999999998,34722.142857,35406.972727,684.8298700000014,0.396932,0.884708,0.48777600000000004
14,13,14,1,161,109,-52,160,107,-53,18,9,-9,14,23,9,9,12,3,9,12,3,208,224,16,1.230769,0.428571,-0.802198,6.328191,12.081568,5.753377,32668.571429,32876.795455,208.22402599999987,0.466515,0.909162,0.442647
15,11,7,-4,144,38,-106,145,43,-102,12,6,-6,15,4,-11,10,7,-3,10,7,-3,176,112,-64,0.363636,0.0,-0.363636,8.620396,13.921531,5.301135,33984.271429,37415.131818,3430.8603890000013,0.443399,0.805187,0.361788
16,11,31,20,178,201,23,179,182,3,11,17,6,12,25,13,9,30,21,9,0,-9,176,496,320,0.181818,3.548387,3.366569,13.611621,3.510207,-10.101414,32329.421429,27164.75,-5164.671429000002,0.494232,0.822928,0.328696
17,11,23,12,167,141,-26,168,130,-38,13,7,-6,13,19,6,10,22,12,10,22,12,176,368,192,0.0,1.565217,1.565217,17.069479,8.658191,-8.411288,32869.228571,31291.972727,-1577.2558439999993,0.476683,0.882846,0.406163
18,9,20,11,118,116,-2,121,108,-13,6,10,4,12,15,3,8,17,9,8,17,9,144,320,176,0.0,1.9,1.9,13.060403,5.480919,-7.579484000000001,34891.057143,30778.55,-4112.507142999999,0.397603,0.797579,0.39997600000000005
19,9,14,5,185,88,-97,188,86,-102,15,6,-9,14,6,-8,6,13,7,6,13,7,144,224,80,0.0,0.142857,0.142857,14.68276,9.539024,-5.1437360000000005,31500.528571,32928.409091,1427.8805200000024,0.494291,0.900533,0.40624200000000005
20,8,10,2,139,75,-64,143,77,-66,10,11,1,13,7,-6,8,9,1,8,9,1,128,160,32,0.0,0.2,0.2,18.244542,16.405036,-1.839506,34314.521429,33887.5,-427.02142900000035,0.401643,0.860882,0.45923900000000006
21,7,9,2,123,42,-81,128,45,-83,12,3,-9,12,4,-8,7,9,2,7,9,2,112,144,32,0.0,0.0,0.0,12.544541,17.138762,4.594220999999999,35053.571429,36311.236364,1257.6649349999934,0.379175,0.85016,0.47098500000000004
22,8,31,23,98,79,-19,102,60,-42,12,14,2,11,10,-1,6,20,14,6,17,11,128,496,368,0.25,8.129032,7.8790320000000005,22.780338,5.564051,-17.216287,35615.671429,35194.718182,-420.9532470000049,0.368633,0.893918,0.525285
23,11,31,20,191,139,-52,192,120,-72,12,15,3,14,14,0,10,30,20,10,0,-10,176,496,320,0.181818,5.806452,5.624634,13.382476,4.532878,-8.849598,31728.421429,30702.890909,-1025.5305200000003,0.51052,0.905549,0.3950290000000001
24,7,9,2,127,50,-77,132,53,-79,14,6,-8,15,7,-8,5,8,3,5,8,3,112,144,32,0.285714,0.0,-0.285714,7.315532,10.515839,3.2003069999999996,35277.885714,36373.563636,1095.6779220000026,0.374218,0.847597,0.47337900000000005
25,5,17,12,112,86,-26,119,81,-38,9,7,-2,14,10,-4,5,16,11,5,16,11,80,272,192,0.0,1.294118,1.294118,27.661933,5.813618,-21.848315,35555.535714,32907.2,-2648.3357140000007,0.35288,0.81323,0.46035
