condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
homogeneous_control,,1,18dd7434909e09e4,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,22,3,31,1,4,1,2,2313,3,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,2,2e9965454f53d057,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,21,2,31,2,4,1,2,2232,2,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,3,595951f9e44f0fdd,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,3462,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,4,cf5085e46e02c451,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,19,0,31,1,1,1,2,2100,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,5,d66b228ca73bce6c,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,19,0,31,1,1,1,2,2100,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,6,8abb3c740dcadf88,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,7,2531ecf3c409d217,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,8,a623805d11a79769,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,3,4,2,2,3157,0,30,30,0,0.0,496,4,-1.02e-08
homogeneous_control,,9,b4e094bbb852da8d,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,21,2,31,1,3,1,2,3109,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,10,db5af842c7debf58,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2142,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,11,8fa959bdfa36bf36,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,19,0,31,1,1,1,2,2100,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,12,6b2181767cc4d8ac,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,2,3,1,2,2183,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,13,02059a5511e67350,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,23,4,31,1,5,1,2,2343,4,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,14,d962f99c92fd53d0,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,21,2,31,1,3,1,2,2226,2,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,15,47fd2ca6e6180adf,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,22,3,31,1,4,1,2,2276,3,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,16,fd64929bee769eb0,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,19,0,31,1,1,1,2,2100,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,17,f56c944e98eab1b7,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,3614,0,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,18,b4f4e82675b75d79,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,19,0,31,2,2,1,2,2100,0,30,30,0,0.0,496,4,-1.02e-08
homogeneous_control,,19,fed9bc145a3da6b1,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,21,2,31,1,3,1,2,2268,2,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,20,278e984cdabfacd2,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,22,3,31,1,4,1,2,2280,3,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,21,812971d3307ca9f6,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,22,0cb084d3cfe1e6d9,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2148,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,23,b68b3a92eaef874a,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,2,3,2,2,2183,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,24,4fd849f1bb6e6cc6,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,21,2,31,1,3,1,2,2233,2,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,25,3cfa628db3ff4213,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,1,2,1,2,2184,1,31,31,0,0.0,496,4,-1.02e-08
homogeneous_control,,26,b78c6bd1dcb8282f,phase-two-vm-0.7,phase-two-measurement-0.1,phase-two-spatial-0.7,False,,,,,,,,,,,,,,,,,,,,,,,,2000,31,20,1,31,2,3,2,2,3278,0,30,30,0,0.0,496,4,-1.02e-08
